,lab,mean,var,median,IQR,min,max,n
0,fibrinogen,"0    1370.557392
dtype: float64","0    1.250679e+07
dtype: float64",478.0,1064.5,"0    1
dtype: int64","0    149784
dtype: int64",21719
1,PT - INR,"0    1814.576763
dtype: float64","0    9.720525e+06
dtype: float64",1410.0,715.0,"0    1
dtype: int64","0    477665
dtype: int64",277613
2,magnesium,"0    1510.763253
dtype: float64","0    3.604416e+06
dtype: float64",1393.0,791.0,"0    1
dtype: int64","0    211640
dtype: int64",511436
3,PT,"0    1814.358789
dtype: float64","0    9.661775e+06
dtype: float64",1411.0,708.0,"0    1
dtype: int64","0    477665
dtype: int64",268152
4,pH,"0    1070.095138
dtype: float64","0    7.031190e+09
dtype: float64",357.0,1024.0,"0    1
dtype: int64","0    47319220
dtype: int64",318967
5,urinary creatinine,"0    4593.841431
dtype: float64","0    5.598791e+07
dtype: float64",1833.0,5160.5,"0    1
dtype: int64","0    130819
dtype: int64",2264
6,MCH,"0    1411.73114
dtype: float64","0    1.246728e+06
dtype: float64",1416.0,525.0,"0    1
dtype: int64","0    96552
dtype: int64",883131
7,BUN,"0    1324.718512
dtype: float64","0    2.566983e+09
dtype: float64",1390.0,768.0,"0    1
dtype: int64","0    52578382
dtype: int64",1077314
8,urinary sodium,"0    4912.769912
dtype: float64","0    5.533608e+07
dtype: float64",2276.0,4860.75,"0    1
dtype: int64","0    112038
dtype: int64",2938
9,HCO3,"0    1097.794796
dtype: float64","0    7.454338e+09
dtype: float64",371.0,1054.0,"0    1
dtype: int64","0    47319220
dtype: int64",300852
10,lactate,"0    1165.369953
dtype: float64","0    1.969166e+07
dtype: float64",383.0,725.0,"0    1
dtype: int64","0    526086
dtype: int64",133252
11,CPK,"0    1240.308944
dtype: float64","0    1.291504e+07
dtype: float64",480.0,834.0,"0    1
dtype: int64","0    348425
dtype: int64",58386
12,PTT,"0    1348.212339
dtype: float64","0    9.530497e+06
dtype: float64",538.0,1018.0,"0    1
dtype: int64","0    253680
dtype: int64",192814
13,FiO2,"0    1154.24336
dtype: float64","0    8.588437e+09
dtype: float64",439.0,1143.0,"0    1
dtype: int64","0    47319220
dtype: int64",261033
14,-lymphs,"0    1739.887864
dtype: float64","0    4.208522e+06
dtype: float64",1433.0,325.0,"0    1
dtype: int64","0    145136
dtype: int64",484901
15,Base Deficit,"0    921.513227
dtype: float64","0    6.813352e+06
dtype: float64",294.0,774.0,"0    1
dtype: int64","0    101545
dtype: int64",45777
16,BNP,"0    3523.790518
dtype: float64","0    2.385104e+07
dtype: float64",1631.0,2758.25,"0    1
dtype: int64","0    124589
dtype: int64",14870
17,chloride,"0    1307.598193
dtype: float64","0    2.533610e+09
dtype: float64",1385.0,792.0,"0    1
dtype: int64","0    52578382
dtype: int64",1091510
18,uric acid,"0    2116.812563
dtype: float64","0    1.775929e+07
dtype: float64",1436.0,263.0,"0    1
dtype: int64","0    149162
dtype: int64",6989
19,troponin - I,"0    906.02249
dtype: float64","0    7.727583e+06
dtype: float64",407.0,265.0,"0    1
dtype: int64","0    296289
dtype: int64",120051
20,paO2,"0    1068.960818
dtype: float64","0    6.936202e+09
dtype: float64",357.0,1023.0,"0    1
dtype: int64","0    47319220
dtype: int64",323337
21,-eos,"0    1832.29046
dtype: float64","0    4.875973e+06
dtype: float64",1438.0,307.0,"0    1
dtype: int64","0    151085
dtype: int64",440798
22,platelets x 1000,"0    1398.995524
dtype: float64","0    1.258356e+06
dtype: float64",1413.0,581.0,"0    1
dtype: int64","0    96552
dtype: int64",959019
23,anion gap,"0    1343.384543
dtype: float64","0    3.175486e+09
dtype: float64",1393.0,757.0,"0    1
dtype: int64","0    52578382
dtype: int64",870818
