,lab,mean,var,median,IQR,min,max
0,fibrinogen,1633.008547008547,13622244.719015269,568.0,1113.75,-1081.0,66118.0
1,PT - INR,1966.0567862648618,14721173.840607813,1413.0,710.0,-21664.0,477665.0
2,magnesium,1631.878143461963,4350949.945761418,1408.0,746.0,-26464.0,90605.0
3,PT,1967.3142221751561,14749471.90236577,1413.0,711.0,-21664.0,477665.0
4,pH,1914.8463414193595,40480639950.343765,415.0,1209.0,-26301.0,47319220.0
5,urinary creatinine,4365.976744186047,66113474.657461904,1612.0,5016.0,-579.0,130819.0
6,MCH,1431.234698717906,1482498.9375139046,1417.0,532.0,-37376.0,96552.0
7,BUN,1289.9697657928002,1053682.5866386895,1391.0,763.0,-29348.0,46587.0
8,urinary sodium,5469.738410596026,51589483.87196834,2993.5,5806.5,-292.0,83304.0
9,HCO3,1910.7859728751284,40365447296.85448,414.0,1209.0,-26301.0,47319220.0
10,lactate,1239.8794248918266,38368885.226134874,374.0,849.0,-13518.0,525001.0
11,CPK,1223.988675713617,8466157.901135214,471.0,676.0,-30575.0,90599.0
12,PTT,1378.1046675283642,8735153.065419832,551.0,1003.0,-21661.0,105137.0
13,FiO2,2053.334618788722,47219873267.37734,489.0,1222.0,-28417.0,47319220.0
14,-lymphs,1955.0580511891792,6633682.950307955,1441.0,353.0,-37376.0,145136.0
15,Base Deficit,899.3034499514091,7221164.800775271,345.5,906.0,-9153.0,101545.0
16,BNP,3640.663937222791,22011573.48822182,2070.0,2957.0,-9682.0,61503.0
17,chloride,1258.212454890812,1056102.4236030655,1383.0,806.0,-29348.0,46587.0
18,uric acid,2500.197418375095,48155462.153888546,1441.0,241.0,-186.0,149162.0
19,troponin - I,920.2372108976872,6174667.939369956,400.0,288.0,-30547.0,90940.0
20,paO2,1915.5478248291324,40522335435.97423,416.0,1209.0,-26301.0,47319220.0
21,-eos,2135.5996176861704,8186074.809524455,1450.0,452.0,-37376.0,145136.0
22,platelets x 1000,1410.7408442375367,1448452.4622289115,1411.0,609.0,-37376.0,96552.0
23,anion gap,1314.4753306752737,1144633.2359492371,1397.0,735.0,-29348.0,63945.0
24,LPM O2,3003.484793463459,20274764.272465084,1414.0,2929.0,-13320.0,43352.0
25,MCV,1422.6474209434941,1432573.6003392646,1414.0,573.0,-37376.0,96552.0
26,paCO2,1921.0290596430127,40653180170.09532,418.0,1210.0,-26301.0,47319220.0
27,RBC,1426.6044355571714,1543218.7138221492,1415.0,565.0,-37376.0,131486.0
28,RDW,1434.1255086110461,1486385.0404007065,1415.0,552.0,-37376.0,96552.0
29,MCHC,1425.1796203607516,1432215.2657580574,1415.0,564.0,-37376.0,96552.0
30,alkaline phos.,2366.181832280935,11648236.60092395,1451.0,881.0,-27848.0,145562.0
31,WBC x 1000,1427.2953598873703,1449959.9563127216,1415.0,563.0,-37376.0,96552.0
32,creatinine,1283.1511975284725,1120607.9920153741,1390.0,770.0,-29348.0,130040.0
33,calcium,1339.3212493581664,1386887.5987371872,1399.0,731.0,-29348.0,81439.0
34,Hgb,1188.7588772650035,2864189.1695777113,1321.0,1001.0,-37376.0,525001.0
35,bicarbonate,1292.4261846142392,1015039.8027703397,1393.0,755.0,-29348.0,46587.0
36,potassium,1355.2161135617332,10026839014.012808,1262.0,978.0,-29561.0,47319220.0
37,-polys,1932.852323296538,6513562.295174195,1440.0,349.0,-37376.0,145136.0
38,-monos,1960.3595357163153,6673345.855120611,1441.0,354.0,-37376.0,145136.0
39,CPK-MB,824.3370874393868,4201499.687560858,426.0,276.0,-30573.0,36150.0
