,lab,mean,var,median,IQR,min,max,n
0,fibrinogen,2.27525948513458,10.921882006613787,1.0,1.0,1,87,17053
1,PT - INR,3.241474936717024,20.383722518002156,2.0,3.0,1,152,124046
2,magnesium,4.746670374381641,39.49592930180052,3.0,5.0,1,317,136652
3,PT,3.216773692985787,19.997918933093814,2.0,3.0,1,152,121154
4,pH,4.9079297561902955,57.20755614320686,3.0,5.0,1,397,84164
5,urinary creatinine,1.289765002913187,0.5591280209096873,1.0,0.0,1,25,10298
6,MCH,6.040768985249527,42.8700741486142,4.0,5.0,1,243,175452
7,BUN,6.679199852798149,55.31871184149218,5.0,6.0,1,283,190215
8,urinary sodium,1.2159814707585408,0.6300044365730376,1.0,0.0,1,45,13816
9,HCO3,4.836695045290304,53.38055295086927,3.0,5.0,1,397,80812
10,lactate,2.8636237011449426,16.143937983618326,2.0,2.0,1,181,71794
11,CPK,2.1883817427385894,4.231109447015058,1.0,2.0,1,53,49405
12,PTT,3.092051207006818,29.23928262964593,1.0,2.0,1,191,92253
13,FiO2,4.151328606836129,47.979093763004485,2.0,4.0,1,338,86745
14,-lymphs,4.348913523053166,24.93984205143727,3.0,4.0,1,233,145056
15,Base Deficit,3.6758430071862906,22.020738758037503,2.0,3.0,1,135,18090
16,BNP,1.4725986100974202,1.4088153370087304,1.0,1.0,1,32,31513
17,chloride,6.774411254109217,57.65234723888557,5.0,6.0,1,280,189513
18,uric acid,2.0597218022376778,12.394285481342223,1.0,1.0,1,71,6614
19,troponin - I,2.6699198956005055,3.73913668523945,2.0,2.0,1,44,72031
20,paO2,4.90575849083002,57.01447213274622,3.0,5.0,1,400,85769
21,-eos,4.107493278150823,21.751566889247655,3.0,4.0,1,161,142074
22,platelets x 1000,6.098144277392864,44.2712315361424,4.0,6.0,1,252,188498
23,anion gap,6.7456385872249625,56.87408489847598,5.0,6.0,1,280,151843
24,LPM O2,1.6406149903907752,1.8500428133780709,1.0,1.0,1,36,17171
25,MCV,6.0303769292459775,42.79554851855992,4.0,5.0,1,243,183297
26,paCO2,4.899784698283469,56.986050708974275,3.0,5.0,1,398,84997
27,RBC,6.016444309843739,42.33594444960968,4.0,5.0,1,243,188211
28,RDW,5.967475556870824,42.12534714453408,4.0,5.0,1,243,175714
29,MCHC,6.028098470133782,42.77448150062368,4.0,5.0,1,243,183284
