,lab,mean,var,median,IQR,min,max,n
0,fibrinogen,2.238969290504765,10.05833961522891,1.0,1.0,1.0,63.0,2833
1,PT - INR,3.446804113057407,23.541002730177382,2.0,3.0,1.0,152.0,19353
2,magnesium,4.956467482601392,50.3575653262321,3.0,5.0,1.0,317.0,20835
3,PT,3.4395473803864833,23.495156845711374,2.0,3.0,1.0,152.0,19354
4,pH,5.022596817554312,55.9985447165921,3.0,5.0,1.0,186.0,13763
5,urinary creatinine,1.2707407407407407,0.5094807404662907,1.0,0.0,1.0,17.0,2700
6,MCH,7.587896126760564,55.72060704409786,5.0,6.0,1.0,151.0,22720
7,BUN,8.082281014592962,67.24583166991793,6.0,7.0,1.0,229.0,27479
8,urinary sodium,1.2012662445851383,0.3501450627568588,1.0,0.0,1.0,16.0,3001
9,HCO3,5.010473851488009,56.00270759889722,3.0,5.0,1.0,186.0,13844
10,lactate,3.295198623709728,28.124706748689746,2.0,3.0,1.0,181.0,12788
11,CPK,2.417484743963916,5.130844568229475,2.0,2.0,1.0,50.0,7538
12,PTT,3.4010344827586207,36.141043139717134,1.0,2.0,1.0,113.0,14500
13,FiO2,4.776681257461202,61.632073193922004,2.0,4.0,1.0,224.0,12565
14,-lymphs,4.12683595823748,23.05691108736598,3.0,4.0,1.0,132.0,22604
15,Base Deficit,3.117283950617284,13.65787918644326,2.0,3.0,1.0,72.0,1944
16,BNP,1.5242353782865319,1.3417649563939489,1.0,1.0,1.0,19.0,5591
17,chloride,8.26995851830289,72.75871248326882,6.0,7.0,1.0,243.0,27482
18,uric acid,2.135344827586207,16.55888771533129,1.0,1.0,1.0,63.0,1160
19,troponin - I,2.884743258219431,4.239970406045798,3.0,3.0,1.0,33.0,10828
20,paO2,5.017871413003996,55.96437108634126,3.0,5.0,1.0,186.0,13765
21,-eos,3.713209759617553,18.25858293619917,2.0,3.0,1.0,132.0,22173
22,platelets x 1000,7.30043467143953,52.283968615846355,5.0,6.0,1.0,154.0,27377
23,anion gap,8.550532804510919,76.40783291404136,6.0,7.0,1.0,229.0,20927
24,LPM O2,1.6631547260686335,1.5652123271517018,1.0,1.0,1.0,25.0,3322
25,MCV,7.239735342767873,50.68851808904824,5.0,6.0,1.0,151.0,27205
26,paCO2,5.008143085647812,55.86498131130717,3.0,5.0,1.0,186.0,13754
27,RBC,7.228532817122613,50.580870412859355,5.0,6.0,1.0,151.0,27379
28,RDW,7.110723004694836,48.510952095183285,5.0,6.0,1.0,151.0,26625
29,MCHC,7.229052538696275,50.62265617633363,5.0,6.0,1.0,151.0,27199
30,alkaline phos.,3.15729853742472,15.227442785399132,2.0,3.0,1.0,79.0,20922
31,WBC x 1000,7.224031545510972,50.304342866830176,5.0,6.0,1.0,151.0,27389
32,creatinine,8.132872727272728,67.39854114893434,6.0,7.0,1.0,229.0,27500
33,calcium,7.50265594172105,65.12983548032933,5.0,6.0,1.0,229.0,26356
34,Hgb,8.535641324967168,97.565071629109,6.0,7.0,1.0,309.0,27412
35,bicarbonate,8.038324787604326,67.61032844589766,6.0,7.0,1.0,229.0,26719
36,potassium,9.132062429512134,116.63329016156848,6.0,8.0,1.0,507.0,27487
37,-polys,4.194056024735798,23.799658224847057,3.0,4.0,1.0,132.0,21669
38,-monos,4.115340355846685,22.79703549916627,3.0,4.0,1.0,132.0,22594
39,CPK-MB,2.381971465629053,3.5584986854558833,2.0,2.0,1.0,23.0,4626
40,total bilirubin,3.1824499185277486,15.718208155291869,2.0,3.0,1.0,80.0,20866
41,-basos,3.66097228104852,17.018808561402178,2.0,3.0,1.0,129.0,21249
42,phosphate,4.799071058028713,42.02000999543306,3.0,5.0,1.0,105.0,16578
43,ALT (SGPT),3.157383141945014,15.194756670263779,2.0,3.0,1.0,79.0,20987
44,Hct,8.038971928545388,65.6851995701041,6.0,7.0,1.0,152.0,27430
45,AST (SGOT),3.188290086493679,15.521790536443705,2.0,3.0,1.0,79.0,21042
46,glucose,8.912303045740694,111.10606442286151,6.0,8.0,1.0,268.0,27481
47,total protein,3.1576460481099655,15.104591432537479,2.0,3.0,1.0,79.0,20952
48,sodium,8.81798014328836,96.59201304252103,6.0,8.0,1.0,249.0,27497
