,Total Prevalence,Delirium Prevalence
-bands,75699,11328.0
-basos,558783,77792.0
-eos,583568,82333.0
24 h urine protein,2870,242.0
24 h urine urea nitrogen,275,39.0
ANF/ANA,448,181.0
Acetaminophen,8512,1384.0
Amikacin - peak,54,12.0
Amikacin - random,176,38.0
Amikacin - trough,94,22.0
BNP,46406,8522.0
Base Deficit,66496,6060.0
Base Excess,328813,62089.0
CPK,108117,18223.0
CPK-MB,66958,11019.0
CPK-MB INDEX,29240,5268.0
CRP,12932,1509.0
CRP-hs,979,420.0
Carbamazepine,740,109.0
Carboxyhemoglobin,100040,35638.0
Clostridium difficile toxin A+B,109,6.0
Cyclosporin,599,115.0
Device,2704,921.0
Digoxin,8884,1358.0
ESR,13242,2288.0
Fe,19608,3914.0
Fe/TIBC Ratio,11317,2487.0
Ferritin,15343,2994.0
Gentamicin - peak,405,57.0
Gentamicin - random,783,70.0
Gentamicin - trough,754,110.0
HDL,33835,5506.0
HIV 1&2 AB,7,
HSV 1&2 IgG AB,43,7.0
HSV 1&2 IgG AB titer,12,
LDH,22035,4874.0
LDL,24277,3917.0
LPM O2,28171,5525.0
Legionella pneumophila Ab,28,2.0
Lidocaine,256,51.0
Lithium,1375,267.0
Methemoglobin,101924,35717.0
Mode,609,205.0
NAPA,10,1.0
O2 Content,64619,20878.0
Oxyhemoglobin,35738,8298.0
PEEP,112830,18800.0
PTT,285251,49315.0
PTT ratio,11041,1529.0
Peak Airway/Pressure,8827,1173.0
Phenobarbital,654,53.0
Phenytoin,6108,903.0
Pressure Control,2300,938.0
Pressure Support,24537,3614.0
Procainamide,10,1.0
RPR titer,3,1.0
Respiratory Rate,49021,16001.0
Site,272,3.0
Spontaneous Rate,9696,927.0
T3,1092,295.0
T3RU,531,66.0
T4,1844,432.0
TIBC,14649,2867.0
TSH,45271,7931.0
TV,94246,19583.0
Tacrolimus-FK506,6587,978.0
Temperature,113472,15718.0
Theophylline,664,126.0
Tobramycin - peak,129,19.0
Tobramycin - random,742,141.0
Tobramycin - trough,237,40.0
Vancomycin - peak,35,18.0
Vancomycin - random,21366,4149.0
Vancomycin - trough,41257,6819.0
Vent Other,1653,910.0
Vent Rate,55243,13977.0
Vitamin B12,14825,2558.0
WBC's in body fluid,2022,365.0
WBC's in cerebrospinal fluid,3331,525.0
WBC's in pericardial fluid,47,13.0
WBC's in peritoneal fluid,341,68.0
WBC's in pleural fluid,456,125.0
WBC's in synovial fluid,146,49.0
WBC's in urine,24453,7146.0
ammonia,28793,5197.0
amylase,16650,3027.0
cd 4,500,154.0
cortisol,9178,1938.0
direct bilirubin,77732,17934.0
ethanol,12555,2073.0
fibrinogen,38800,6343.0
folate,11550,2021.0
free T4,13520,2520.0
glucose - CSF,4071,549.0
haptoglobin,4634,1014.0
ionized calcium,149138,35295.0
lipase,43304,7080.0
myoglobin,3755,141.0
prealbumin,20010,3771.0
prolactin,789,134.0
protein - CSF,4138,549.0
protein C,702,122.0
protein S,643,116.0
reticulocyte count,6304,1491.0
salicylate,6333,1185.0
serum ketones,855,430.0
serum osmolality,28521,2524.0
total cholesterol,34514,5717.0
transferrin,4959,554.0
triglycerides,53344,8764.0
troponin - I,192317,31236.0
troponin - T,39864,10388.0
uric acid,13623,2477.0
urinary creatinine,13282,3431.0
urinary osmolality,9414,1610.0
urinary sodium,16800,3605.0
urinary specific gravity,106853,19943.0
